date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2025-03-11,1.4515670212264133,-2.7233353045292517,5.875404210780557,46303877432
2025-03-12,0.8825630653603618,-3.032673173968087,4.896191216808058,46303877432
2025-03-13,0.3135591094943173,-3.8538728050458353,4.534810045471364,46303877432
2025-03-14,-0.25544484637172715,-4.4660961783581214,3.8260126088979343,46303877432
2025-03-15,-0.8244488022377716,-4.94101087574591,2.9533082745927675,46303877432
2025-03-16,-1.393452758103816,-5.43786719185142,2.580813524114761,46303877432
2025-03-17,-1.9624567139698605,-6.115375043234105,2.424785266346489,46303877432
2025-03-18,-2.531460669835919,-6.575675113275996,1.6941727668306592,46303877432
2025-03-19,-3.1004646257019637,-6.965441038786717,0.9464437794398557,46303877432
2025-03-20,-3.669468581568008,-7.7096253043177185,0.36267363148177334,46303877432
2025-03-21,-4.238472537434053,-8.279325938638491,-0.09453667453369766,46303877432
2025-03-22,-4.807476493300097,-9.123752472044767,-0.6761404279227838,46303877432
